concept,action_dim,corr_gt,count,corr_pred,diff
obj:cloth,y,0.051437115611491654,154,0.12640944793885167,0.07497233232736002
obj:cloth,z,-0.11972994317510456,154,0.06686628374338074,0.18659622691848532
obj:cloth,roll,0.03050891067344246,154,0.16051625691511642,0.13000734624167395
obj:cloth,pitch,0.05964732307985587,154,0.1734051229818751,0.11375779990201923
obj:cloth,yaw,0.008043081135882976,154,0.17011889205633732,0.16207581092045434
obj:cloth,gripper,0.08691076503400404,154,0.12379068647019031,0.03687992143618628
obj:pot,x,0.008642775397904666,152,-0.06508930555999787,0.07373208095790254
obj:pot,y,0.03718577250376035,152,0.11657980026084132,0.07939402775708096
obj:pot,z,0.03353827801969348,152,0.10857377418772442,0.07503549616803093
obj:pot,roll,0.008559411943822553,152,0.1567071784922496,0.14814776654842704
obj:pot,pitch,0.06291174643177858,152,0.173764999218215,0.11085325278643643
obj:pot,yaw,-0.021400668643882598,152,0.1690435905498807,0.1904442591937633
obj:pot,gripper,0.09158207583478765,152,0.08488499647010388,0.006697079364683778
spatial:right,x,-0.007106628125788164,151,-0.04359866173495439,0.03649203360916623
spatial:right,y,0.07759218158552253,151,0.14433508924324145,0.06674290765771893
spatial:right,z,-0.03024807373029998,151,0.0931597707851186,0.12340784451541859
spatial:right,roll,0.032177132202828196,151,0.20668092626608325,0.17450379406325506
spatial:right,pitch,0.032821577038010995,151,0.2329081470224358,0.2000865699844248
spatial:right,yaw,0.02109050114803839,151,0.24795756225691282,0.22686706110887442
spatial:right,gripper,0.08455642661972775,151,0.19997902690972255,0.1154226002899948
spatial:on,x,-0.0008228800916845876,150,-0.014062837098349762,0.013239957006665175
spatial:on,y,-0.005714362607239606,150,0.08999410801135178,0.09570847061859139
spatial:on,z,-0.04617673958959674,150,0.12888341153490881,0.17506015112450557
spatial:on,roll,-0.03188372532998148,150,0.21064989174718204,0.24253361707716353
spatial:on,pitch,0.04747710549076984,150,0.24742296755107404,0.1999458620603042
spatial:on,yaw,-0.017605363054999386,150,0.2567118565168314,0.2743172195718308
spatial:on,gripper,0.0682101110178219,150,0.251792158252189,0.18358204723436708
spatial:left,x,-0.006266677268857592,146,-0.02011383208548499,0.013847154816627398
spatial:left,y,-0.024456106271305844,146,0.14714525779257434,0.17160136406388019
spatial:left,z,-0.05947441103084706,146,0.12521273505710542,0.18468714608795248
spatial:left,roll,0.02188627803409929,146,0.22723553824160694,0.20534926020750766
spatial:left,pitch,-0.017401031701348282,146,0.24345296638679023,0.26085399808813853
spatial:left,yaw,-0.01715470682843856,146,0.2201530437689756,0.23730775059741416
spatial:left,gripper,0.09382074913685358,146,0.15939574599282386,0.06557499685597028
spatial:top,x,0.017300466168689233,117,-0.0046539126409333295,0.021954378809622564
spatial:top,y,-0.010500148949272514,117,0.15553206466106959,0.1660322136103421
spatial:top,z,-0.07105255212928427,117,0.11979496953251904,0.1908475216618033
spatial:top,roll,-0.04466943877866391,117,0.17710232600301473,0.22177176478167865
spatial:top,pitch,0.0014309525049759088,117,0.16994030661104326,0.16850935410606735
spatial:top,yaw,-0.001493471961696231,117,0.17732678376465202,0.17882025572634824
spatial:top,gripper,0.06765892948514372,117,0.12376542423864124,0.05610649475349752
spatial:in,x,0.022941193270799905,105,-0.0164189512760346,0.03936014454683451
spatial:in,y,-0.011115933429551748,105,0.00978237979074566,0.020898313220297407
spatial:in,z,0.02401700659463132,105,0.0388961364076184,0.014879129812987082
spatial:in,roll,0.009615840180719409,105,0.09421174396515349,0.08459590378443407
spatial:in,pitch,0.03907763361232015,105,0.1159861204259818,0.07690848681366165
spatial:in,yaw,-0.019402557280763722,105,0.11191716924930795,0.13131972653007168
spatial:in,gripper,0.07786200953087936,105,0.074211182794895,0.0036508267359843666
spatial:bottom,x,0.04427673119626057,93,-0.023156114316395558,0.06743284551265613
spatial:bottom,y,0.022416513526200613,93,0.17694425870800073,0.15452774518180012
spatial:bottom,z,-0.056126120157838515,93,0.1037643089663016,0.15989042912414012
spatial:bottom,roll,0.0180348508589905,93,0.19322784575878788,0.17519299489979737
spatial:bottom,pitch,-0.027329658758265808,93,0.18815043237026646,0.21548009112853228
